date,Rocco DiSpirito,Dancing with the Stars,normalized_score
2008-09-22,0,27,0.0
2008-09-23,1,85,1.1764705882352942
2008-09-24,3,100,3.0
2008-09-25,1,60,1.6666666666666667
2008-09-26,0,17,0.0
2008-09-27,0,11,0.0
2008-09-28,0,9,0.0
2008-09-29,0,11,0.0
2008-09-30,1,42,2.380952380952381
2008-10-01,1,52,1.9230769230769231
2008-10-02,0,16,0.0
2008-10-03,0,7,0.0
2008-10-04,0,7,0.0
2008-10-05,0,7,0.0
2008-10-06,0,11,0.0
2008-10-07,1,34,2.941176470588235
2008-10-08,1,37,2.7027027027027026
2008-10-09,0,14,0.0
2008-10-10,0,7,0.0
2008-10-11,0,6,0.0
2008-10-12,0,5,0.0
2008-10-13,0,6,0.0
2008-10-14,1,24,4.166666666666666
2008-10-15,2,32,6.25
2008-10-16,0,10,0.0
2008-10-17,0,6,0.0
2008-10-18,0,5,0.0
2008-10-19,0,4,0.0
2008-10-20,0,6,0.0
2008-10-21,0,27,0.0
2008-10-22,0,44,0.0
2008-10-23,0,14,0.0
2008-10-24,0,7,0.0
2008-10-25,0,6,0.0
2008-10-26,0,5,0.0
2008-10-27,0,6,0.0
2008-10-28,0,27,0.0
2008-10-29,0,43,0.0
2008-10-30,0,11,0.0
2008-10-31,0,6,0.0
2008-11-01,0,4,0.0
2008-11-02,0,4,0.0
2008-11-03,0,5,0.0
2008-11-04,0,20,0.0
2008-11-05,0,12,0.0
2008-11-06,0,33,0.0
2008-11-07,0,10,0.0
2008-11-08,0,7,0.0
2008-11-09,0,6,0.0
2008-11-10,0,6,0.0
2008-11-11,0,24,0.0
2008-11-12,0,46,0.0
2008-11-13,0,14,0.0
2008-11-14,0,7,0.0
2008-11-15,0,6,0.0
2008-11-16,0,5,0.0
2008-11-17,0,6,0.0
2008-11-18,0,28,0.0
2008-11-19,0,42,0.0
2008-11-20,0,14,0.0
2008-11-21,0,8,0.0
2008-11-22,0,6,0.0
2008-11-23,0,5,0.0
2008-11-24,0,8,0.0
2008-11-25,0,44,0.0
