date,Lance Bass,Dancing with the Stars,normalized_score
2008-09-22,0,27,0.0
2008-09-23,2,85,2.3529411764705883
2008-09-24,2,100,2.0
2008-09-25,1,60,1.6666666666666667
2008-09-26,1,17,5.88235294117647
2008-09-27,0,11,0.0
2008-09-28,1,9,11.11111111111111
2008-09-29,1,11,9.090909090909092
2008-09-30,3,42,7.142857142857142
2008-10-01,1,52,1.9230769230769231
2008-10-02,1,16,6.25
2008-10-03,0,7,0.0
2008-10-04,0,7,0.0
2008-10-05,0,7,0.0
2008-10-06,0,11,0.0
2008-10-07,1,34,2.941176470588235
2008-10-08,1,37,2.7027027027027026
2008-10-09,0,14,0.0
2008-10-10,0,7,0.0
2008-10-11,0,6,0.0
2008-10-12,0,5,0.0
2008-10-13,0,6,0.0
2008-10-14,1,24,4.166666666666666
2008-10-15,1,32,3.125
2008-10-16,0,10,0.0
2008-10-17,0,6,0.0
2008-10-18,0,5,0.0
2008-10-19,0,4,0.0
2008-10-20,0,6,0.0
2008-10-21,1,27,3.7037037037037033
2008-10-22,1,44,2.272727272727273
2008-10-23,0,14,0.0
2008-10-24,0,7,0.0
2008-10-25,0,6,0.0
2008-10-26,0,5,0.0
2008-10-27,0,6,0.0
2008-10-28,1,27,3.7037037037037033
2008-10-29,1,43,2.3255813953488373
2008-10-30,0,11,0.0
2008-10-31,0,6,0.0
2008-11-01,0,4,0.0
2008-11-02,0,4,0.0
2008-11-03,0,5,0.0
2008-11-04,1,20,5.0
2008-11-05,0,12,0.0
2008-11-06,1,33,3.0303030303030303
2008-11-07,1,10,10.0
2008-11-08,1,7,14.285714285714285
2008-11-09,1,6,16.666666666666664
2008-11-10,0,6,0.0
2008-11-11,1,24,4.166666666666666
2008-11-12,1,46,2.1739130434782608
2008-11-13,0,14,0.0
2008-11-14,0,7,0.0
2008-11-15,0,6,0.0
2008-11-16,0,5,0.0
2008-11-17,0,6,0.0
2008-11-18,2,28,7.142857142857142
2008-11-19,3,42,7.142857142857142
2008-11-20,1,14,7.142857142857142
2008-11-21,1,8,12.5
2008-11-22,0,6,0.0
2008-11-23,0,5,0.0
2008-11-24,1,8,12.5
2008-11-25,3,44,6.8181818181818175
