date,Mauricio Umansky,Dancing with the Stars,normalized_score
2023-09-26,0,28,0.0
2023-09-27,6,100,6.0
2023-09-28,2,26,7.6923076923076925
2023-09-29,1,13,7.6923076923076925
2023-09-30,1,11,9.090909090909092
2023-10-01,1,10,10.0
2023-10-02,1,10,10.0
2023-10-03,1,17,5.88235294117647
2023-10-04,5,54,9.25925925925926
2023-10-05,1,14,7.142857142857142
2023-10-06,1,8,12.5
2023-10-07,1,8,12.5
2023-10-08,1,7,14.285714285714285
2023-10-09,1,7,14.285714285714285
2023-10-10,1,12,8.333333333333332
2023-10-11,6,50,12.0
2023-10-12,1,11,9.090909090909092
2023-10-13,1,7,14.285714285714285
2023-10-14,1,6,16.666666666666664
2023-10-15,1,6,16.666666666666664
2023-10-16,0,6,0.0
2023-10-17,0,11,0.0
2023-10-18,3,44,6.8181818181818175
2023-10-19,0,15,0.0
2023-10-20,0,9,0.0
2023-10-21,0,7,0.0
2023-10-22,0,6,0.0
2023-10-23,1,6,16.666666666666664
2023-10-24,3,12,25.0
2023-10-25,9,55,16.363636363636363
2023-10-26,12,25,48.0
2023-10-27,6,12,50.0
2023-10-28,3,7,42.857142857142854
2023-10-29,2,6,33.33333333333333
2023-10-30,1,5,20.0
2023-10-31,1,8,12.5
2023-11-01,5,38,13.157894736842104
2023-11-02,3,9,33.33333333333333
2023-11-03,2,6,33.33333333333333
2023-11-04,2,7,28.57142857142857
2023-11-05,2,6,33.33333333333333
2023-11-06,1,5,20.0
2023-11-07,2,8,25.0
2023-11-08,1,45,2.2222222222222223
2023-11-09,1,11,9.090909090909092
2023-11-10,1,7,14.285714285714285
2023-11-11,1,7,14.285714285714285
2023-11-12,1,6,16.666666666666664
2023-11-13,0,5,0.0
2023-11-14,1,7,14.285714285714285
2023-11-15,1,52,1.9230769230769231
2023-11-16,1,17,5.88235294117647
2023-11-17,1,9,11.11111111111111
2023-11-18,1,7,14.285714285714285
2023-11-19,0,7,0.0
2023-11-20,0,6,0.0
2023-11-21,0,14,0.0
2023-11-22,1,81,1.2345679012345678
2023-11-23,0,14,0.0
2023-11-24,1,7,14.285714285714285
2023-11-25,1,7,14.285714285714285
2023-11-26,0,6,0.0
2023-11-27,0,6,0.0
2023-11-28,0,8,0.0
2023-11-29,1,59,1.694915254237288
2023-11-30,1,13,7.6923076923076925
2023-12-01,1,7,14.285714285714285
2023-12-02,1,7,14.285714285714285
2023-12-03,1,6,16.666666666666664
2023-12-04,0,6,0.0
2023-12-05,0,14,0.0
