date,Jessie James Decker,Dancing with the Stars,normalized_score
2022-09-19,1,35,2.857142857142857
2022-09-20,4,100,4.0
2022-09-21,2,42,4.761904761904762
2022-09-22,1,25,4.0
2022-09-23,1,15,6.666666666666667
2022-09-24,1,15,6.666666666666667
2022-09-25,1,13,7.6923076923076925
2022-09-26,1,23,4.3478260869565215
2022-09-27,2,54,3.7037037037037033
2022-09-28,1,20,5.0
2022-09-29,1,12,8.333333333333332
2022-09-30,1,9,11.11111111111111
2022-10-01,1,8,12.5
2022-10-02,1,9,11.11111111111111
2022-10-03,1,13,7.6923076923076925
2022-10-04,2,38,5.263157894736842
2022-10-05,1,17,5.88235294117647
2022-10-06,1,11,9.090909090909092
2022-10-07,0,11,0.0
2022-10-08,0,12,0.0
2022-10-09,0,11,0.0
2022-10-10,1,16,6.25
2022-10-11,2,46,4.3478260869565215
2022-10-12,1,17,5.88235294117647
2022-10-13,1,10,10.0
2022-10-14,0,8,0.0
2022-10-15,1,9,11.11111111111111
2022-10-16,1,9,11.11111111111111
2022-10-17,1,11,9.090909090909092
2022-10-18,2,40,5.0
2022-10-19,3,35,8.571428571428571
2022-10-20,2,16,12.5
2022-10-21,2,10,20.0
2022-10-22,1,9,11.11111111111111
2022-10-23,1,9,11.11111111111111
2022-10-24,1,10,10.0
2022-10-25,3,34,8.823529411764707
2022-10-26,1,12,8.333333333333332
2022-10-27,1,8,12.5
2022-10-28,1,6,16.666666666666664
2022-10-29,1,7,14.285714285714285
2022-10-30,1,6,16.666666666666664
2022-10-31,1,7,14.285714285714285
2022-11-01,1,25,4.0
2022-11-02,1,11,9.090909090909092
2022-11-03,1,7,14.285714285714285
2022-11-04,1,5,20.0
2022-11-05,0,8,0.0
2022-11-06,1,8,12.5
2022-11-07,0,7,0.0
2022-11-08,0,30,0.0
2022-11-09,0,11,0.0
2022-11-10,1,8,12.5
2022-11-11,1,7,14.285714285714285
2022-11-12,1,7,14.285714285714285
2022-11-13,1,7,14.285714285714285
2022-11-14,1,7,14.285714285714285
2022-11-15,1,40,2.5
2022-11-16,0,15,0.0
2022-11-17,0,8,0.0
2022-11-18,1,7,14.285714285714285
2022-11-19,0,8,0.0
2022-11-20,1,7,14.285714285714285
2022-11-21,1,13,7.6923076923076925
