date,Whitney Leavitt,Dancing with the Stars,normalized_score
2025-09-16,0,48,0.0
2025-09-17,6,100,6.0
2025-09-18,2,26,7.6923076923076925
2025-09-19,1,13,7.6923076923076925
2025-09-20,1,11,9.090909090909092
2025-09-21,0,9,0.0
2025-09-22,0,10,0.0
2025-09-23,0,23,0.0
2025-09-24,4,72,5.555555555555555
2025-09-25,2,15,13.333333333333334
2025-09-26,1,9,11.11111111111111
2025-09-27,1,9,11.11111111111111
2025-09-28,1,7,14.285714285714285
2025-09-29,1,7,14.285714285714285
2025-09-30,1,15,6.666666666666667
2025-10-01,5,61,8.19672131147541
2025-10-02,3,16,18.75
2025-10-03,2,9,22.22222222222222
2025-10-04,1,8,12.5
2025-10-05,1,7,14.285714285714285
2025-10-06,1,6,16.666666666666664
2025-10-07,1,14,7.142857142857142
2025-10-08,5,66,7.575757575757576
2025-10-09,2,14,14.285714285714285
2025-10-10,1,10,10.0
2025-10-11,1,8,12.5
2025-10-12,1,7,14.285714285714285
2025-10-13,1,7,14.285714285714285
2025-10-14,1,15,6.666666666666667
2025-10-15,5,72,6.944444444444445
2025-10-16,1,15,6.666666666666667
2025-10-17,1,9,11.11111111111111
2025-10-18,1,7,14.285714285714285
2025-10-19,0,6,0.0
2025-10-20,0,5,0.0
2025-10-21,0,13,0.0
2025-10-22,4,66,6.0606060606060606
2025-10-23,1,13,7.6923076923076925
2025-10-24,1,8,12.5
2025-10-25,1,7,14.285714285714285
2025-10-26,1,6,16.666666666666664
2025-10-27,1,6,16.666666666666664
2025-10-28,1,12,8.333333333333332
2025-10-29,3,69,4.3478260869565215
2025-10-30,1,12,8.333333333333332
2025-10-31,1,8,12.5
2025-11-01,0,6,0.0
2025-11-02,1,6,16.666666666666664
2025-11-03,0,5,0.0
2025-11-04,0,12,0.0
2025-11-05,2,81,2.4691358024691357
2025-11-06,1,17,5.88235294117647
2025-11-07,0,9,0.0
2025-11-08,1,9,11.11111111111111
2025-11-09,1,7,14.285714285714285
2025-11-10,0,6,0.0
2025-11-11,0,12,0.0
2025-11-12,3,84,3.571428571428571
2025-11-13,1,16,6.25
2025-11-14,1,10,10.0
2025-11-15,2,9,22.22222222222222
2025-11-16,2,9,22.22222222222222
2025-11-17,1,8,12.5
2025-11-18,1,12,8.333333333333332
2025-11-19,13,95,13.684210526315791
2025-11-20,4,16,25.0
2025-11-21,2,11,18.181818181818183
2025-11-22,2,11,18.181818181818183
2025-11-23,1,10,10.0
2025-11-24,1,11,9.090909090909092
2025-11-25,1,39,2.564102564102564
