date,Helio Castroneves,Dancing with the Stars,normalized_score
2007-09-24,0,28,0.0
2007-09-25,1,61,1.639344262295082
2007-09-26,2,56,3.571428571428571
2007-09-27,1,68,1.4705882352941175
2007-09-28,0,14,0.0
2007-09-29,0,10,0.0
2007-09-30,0,8,0.0
2007-10-01,0,12,0.0
2007-10-02,2,53,3.7735849056603774
2007-10-03,2,69,2.898550724637681
2007-10-04,0,17,0.0
2007-10-05,0,8,0.0
2007-10-06,0,7,0.0
2007-10-07,0,6,0.0
2007-10-08,0,10,0.0
2007-10-09,1,37,2.7027027027027026
2007-10-10,1,45,2.2222222222222223
2007-10-11,0,12,0.0
2007-10-12,0,7,0.0
2007-10-13,0,5,0.0
2007-10-14,0,5,0.0
2007-10-15,0,6,0.0
2007-10-16,0,34,0.0
2007-10-17,0,50,0.0
2007-10-18,0,13,0.0
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,0,8,0.0
2007-10-23,2,71,2.8169014084507045
2007-10-24,1,61,1.639344262295082
2007-10-25,0,17,0.0
2007-10-26,0,8,0.0
2007-10-27,0,7,0.0
2007-10-28,0,6,0.0
2007-10-29,0,7,0.0
2007-10-30,1,37,2.7027027027027026
2007-10-31,1,100,1.0
2007-11-01,0,27,0.0
2007-11-02,0,12,0.0
2007-11-03,0,9,0.0
2007-11-04,0,6,0.0
2007-11-05,0,13,0.0
2007-11-06,1,53,1.8867924528301887
2007-11-07,1,70,1.4285714285714286
2007-11-08,0,24,0.0
2007-11-09,0,14,0.0
2007-11-10,0,12,0.0
2007-11-11,0,8,0.0
2007-11-12,0,10,0.0
2007-11-13,2,53,3.7735849056603774
2007-11-14,2,69,2.898550724637681
2007-11-15,0,24,0.0
2007-11-16,0,11,0.0
2007-11-17,1,9,11.11111111111111
2007-11-18,1,7,14.285714285714285
2007-11-19,0,9,0.0
2007-11-20,4,59,6.779661016949152
2007-11-21,2,80,2.5
2007-11-22,0,23,0.0
2007-11-23,0,12,0.0
2007-11-24,0,11,0.0
2007-11-25,0,10,0.0
2007-11-26,0,14,0.0
2007-11-27,3,90,3.3333333333333335
