date,Stephen Nedoroscik,Dancing with the Stars,normalized_score
2024-09-17,1,31,3.225806451612903
2024-09-18,7,100,7.000000000000001
2024-09-19,3,27,11.11111111111111
2024-09-20,2,18,11.11111111111111
2024-09-21,1,15,6.666666666666667
2024-09-22,1,16,6.25
2024-09-23,2,16,12.5
2024-09-24,1,26,3.8461538461538463
2024-09-25,4,86,4.651162790697675
2024-09-26,2,24,8.333333333333332
2024-09-27,1,14,7.142857142857142
2024-09-28,1,11,9.090909090909092
2024-09-29,1,9,11.11111111111111
2024-09-30,0,9,0.0
2024-10-01,1,13,7.6923076923076925
2024-10-02,0,13,0.0
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,0,6,0.0
2024-10-06,1,6,16.666666666666664
2024-10-07,0,13,0.0
2024-10-08,2,42,4.761904761904762
2024-10-09,2,56,3.571428571428571
2024-10-10,1,15,6.666666666666667
2024-10-11,1,10,10.0
2024-10-12,1,9,11.11111111111111
2024-10-13,1,8,12.5
2024-10-14,0,11,0.0
2024-10-15,0,15,0.0
2024-10-16,2,51,3.9215686274509802
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,1,8,12.5
2024-10-20,1,8,12.5
2024-10-21,0,8,0.0
2024-10-22,1,15,6.666666666666667
2024-10-23,2,61,3.278688524590164
2024-10-24,1,15,6.666666666666667
2024-10-25,0,11,0.0
2024-10-26,1,11,9.090909090909092
2024-10-27,1,9,11.11111111111111
2024-10-28,1,9,11.11111111111111
2024-10-29,1,14,7.142857142857142
2024-10-30,3,56,5.357142857142857
2024-10-31,1,11,9.090909090909092
2024-11-01,1,9,11.11111111111111
2024-11-02,1,9,11.11111111111111
2024-11-03,0,7,0.0
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,0,6,0.0
2024-11-07,0,6,0.0
2024-11-08,0,5,0.0
2024-11-09,0,5,0.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,0,10,0.0
2024-11-13,3,61,4.918032786885246
2024-11-14,1,13,7.6923076923076925
2024-11-15,1,8,12.5
2024-11-16,0,8,0.0
2024-11-17,0,8,0.0
2024-11-18,0,6,0.0
2024-11-19,1,11,9.090909090909092
2024-11-20,4,74,5.405405405405405
2024-11-21,1,15,6.666666666666667
2024-11-22,1,9,11.11111111111111
2024-11-23,1,14,7.142857142857142
2024-11-24,1,10,10.0
2024-11-25,1,10,10.0
2024-11-26,1,31,3.225806451612903
