date,Sherri Sheperd,Dancing with the Stars,normalized_score
2012-03-19,0,21,0.0
2012-03-20,0,100,0.0
2012-03-21,0,26,0.0
2012-03-22,0,13,0.0
2012-03-23,0,8,0.0
2012-03-24,0,8,0.0
2012-03-25,0,17,0.0
2012-03-26,0,12,0.0
2012-03-27,0,55,0.0
2012-03-28,0,67,0.0
2012-03-29,0,14,0.0
2012-03-30,0,9,0.0
2012-03-31,0,6,0.0
2012-04-01,0,6,0.0
2012-04-02,0,7,0.0
2012-04-03,0,51,0.0
2012-04-04,0,62,0.0
2012-04-05,0,14,0.0
2012-04-06,0,9,0.0
2012-04-07,0,8,0.0
2012-04-08,0,7,0.0
2012-04-09,0,8,0.0
2012-04-10,0,44,0.0
2012-04-11,0,55,0.0
2012-04-12,0,14,0.0
2012-04-13,0,7,0.0
2012-04-14,0,6,0.0
2012-04-15,0,6,0.0
2012-04-16,0,7,0.0
2012-04-17,0,41,0.0
2012-04-18,0,49,0.0
2012-04-19,0,14,0.0
2012-04-20,0,8,0.0
2012-04-21,0,6,0.0
2012-04-22,0,5,0.0
2012-04-23,0,7,0.0
2012-04-24,0,37,0.0
2012-04-25,0,44,0.0
2012-04-26,0,13,0.0
2012-04-27,0,8,0.0
2012-04-28,0,5,0.0
2012-04-29,0,5,0.0
2012-04-30,0,6,0.0
2012-05-01,0,35,0.0
2012-05-02,0,47,0.0
2012-05-03,0,12,0.0
2012-05-04,0,7,0.0
2012-05-05,0,5,0.0
2012-05-06,0,5,0.0
2012-05-07,0,6,0.0
2012-05-08,0,41,0.0
2012-05-09,0,55,0.0
2012-05-10,0,13,0.0
2012-05-11,0,7,0.0
2012-05-12,0,6,0.0
2012-05-13,0,5,0.0
2012-05-14,0,8,0.0
2012-05-15,0,55,0.0
2012-05-16,0,66,0.0
2012-05-17,0,15,0.0
2012-05-18,0,8,0.0
2012-05-19,0,6,0.0
2012-05-20,0,6,0.0
2012-05-21,0,11,0.0
2012-05-22,0,65,0.0
